2015,63896,75397,78704,97953,115356,129886,147433,150401,164958,180181,195341,212713
2016,226427,229942,249439,256763,261799,274744,281911,284464,296569,303314,309152,312753
2017,317138,333608,340420,342113,353088,369889,371171,389030,396723,412284,430828,441861
2018,459117,467441,482429,500660,504678,505885,506391,513550,531668,535762,536170,542582
2019,556028,556597,572021,572625,572929,575893,583366,603266,614865,620322,637449,652527
2020,653725,666416,669814,683663,699414,715295,716981,720739,738845,742771,744955,759277
2021,763846,772799,784342,796571,798363,811993,826883,833232,836850,837426,847592,862047
2022,869853,879894,888726,898498,917714,920921,940760,950436,960968,967557,985093,999183
2023,1007029,1024792,1025051,1033055,1043796,1055551,1072194,1074303,1076596,1091302,1099065,1112433
2024,1124821,1134211,1139591,1145594,1156350,1163256,1182523,1202233,1203184,1213835,1227274,1245088
