2015,33010,51072,54932,74410,89698,109496,120608,122428,124505,138424,149944,152670
2016,154027,167266,172121,176566,190335,208550,210491,215042,223717,239181,255047,265688
2017,281354,287928,297660,302819,309138,322676,326897,341745,356128,369134,376435,381675
2018,385640,394074,405329,420038,434136,436267,439173,450479,452451,463894,466972,467477
2019,478877,491097,510410,528797,539411,555368,565470,576250,584498,587401,603465,607059
2020,614929,626506,642882,656974,666255,682263,692960,711880,723113,738780,742728,750916
2021,753890,771588,780473,793182,800270,811572,814445,821163,838382,857689,872595,885267
2022,903429,905840,916417,927401,932743,947971,966522,970449,976509,981318,999350,1009129
2023,1016098,1035329,1038422,1053472,1071962,1089176,1089620,1106890,1109598,1129165,1135858,1148046
2024,1150050,1158902,1176441,1178600,1187989,1190991,1197685,1214855,1223827,1230879,1250496,1252954
