2015,61889,71100,73400,74323,79995,83211,97273,115720,116456,118040,129485,131813
2016,140397,144811,156080,165499,166338,183193,200324,203756,205316,219231,227945,238237
2017,239829,252241,261265,273030,287970,298788,314827,322004,325145,327857,338984,350539
2018,359991,362157,366805,367897,384145,401565,408467,416261,422292,430716,449369,451376
2019,461592,476253,488769,494554,505400,524104,538078,543983,551920,557351,562386,570525
2020,574756,578101,585178,604499,612627,613751,622125,628224,636359,654142,655421,659628
2021,670944,676852,679751,690624,705166,711239,727810,736433,743311,745131,752029,771897
2022,781880,784209,804033,809264,814337,829402,832318,832917,837153,847841,866716,875033
2023,890027,901758,916539,935097,938486,938523,955217,973364,985196,1004297,1022331,1025242
2024,1041572,1041929,1051371,1064528,1068796,1074477,1082280,1101740,1102600,1116145,1117070,1123214
