2015,45041,49089,63021,67452,83515,93163,103194,117617,133670,151276,152038,166051
2016,182665,197686,198575,202288,204404,211026,230837,233916,253626,259900,262503,272487
2017,282541,298655,299790,308382,320202,338551,346533,352454,358350,375843,377818,391646
2018,407797,409723,420567,424406,439795,455879,469356,482307,498476,506220,512877,531784
2019,544862,557236,562475,569973,570018,589384,595363,604294,605070,607148,616937,624112
2020,632450,642818,653597,671754,683412,701081,705679,713105,730455,743237,744807,760161
2021,770740,787318,799532,811012,829279,831848,839308,847489,866881,872932,885223,888120
2022,890108,906946,913481,924444,924519,940954,952044,957546,971874,975062,990394,993357
2023,1007681,1024693,1025763,1038496,1046318,1063720,1073613,1079466,1097382,1115050,1124315,1137837
2024,1141484,1157480,1170829,1177265,1195958,1211535,1213016,1215750,1219693,1225730,1229301,1231099
