2015,94231,95467,109819,119537,137676,146830,158510,176664,183118,195711,204059,219092
2016,225229,229937,249133,265249,266591,270776,288980,290822,294675,301495,315665,326130
2017,345176,357455,362301,368180,387137,389220,408837,413964,432030,446902,461089,479152
2018,496268,505780,520897,535598,543327,559081,562736,578946,596518,601089,605657,607304
2019,612996,628578,644818,649118,662235,681247,683186,700202,702912,714247,720115,737933
2020,752595,759203,768654,779091,785758,798646,814099,814942,814982,815858,819896,820992
2021,837523,843356,853658,869945,870961,871640,872381,890304,896493,912928,919748,920335
2022,926019,926455,938233,955329,973159,978805,986740,992583,1010985,1018446,1035871,1042462
2023,1057424,1060841,1070945,1076783,1078277,1096469,1100565,1105525,1119492,1139414,1144425,1150287
2024,1156441,1158151,1172575,1181043,1183961,1186866,1189502,1200818,1213398,1213580,1215367,1223582
