2015,21475,41310,58440,76841,79427,93415,110116,128650,133741,144071,155055,156375
2016,160901,171861,181509,199188,217738,234898,235874,254708,264381,281526,282478,285815
2017,300932,314262,328536,338841,344071,357376,366668,383733,399931,406055,414590,428263
2018,430510,449591,457746,473573,489325,498390,507291,522892,529109,548091,552105,553255
2019,567019,584361,594626,611283,626565,638133,647453,666768,671431,684682,688613,690423
2020,700419,717320,731439,746301,750052,767157,785700,798868,808381,821511,838697,850948
2021,864264,881196,893981,899863,917565,926591,937513,950178,956360,971169,973750,991430
2022,1007824,1026276,1042351,1049609,1059484,1070125,1079195,1085567,1095685,1106253,1114359,1124823
2023,1144174,1150554,1159648,1160089,1164653,1168023,1182685,1191614,1197289,1213624,1217816,1234431
2024,1237080,1246846,1248630,1263354,1283082,1294024,1300067,1317943,1324827,1325188,1345113,1347931
