2015,52975,68296,71158,81287,83986,95189,109193,117785,128189,145776,155032,169747
2016,173458,185011,193716,195210,206587,218039,231740,250126,262112,281790,282361,302281
2017,311934,329087,346317,358896,378201,392995,401597,403151,419931,425535,431221,450066
2018,455321,458785,472095,473686,482432,491128,503923,520069,534185,553812,565445,569982
2019,578972,594110,613860,623226,624847,625800,639058,645030,652921,672723,690010,705016
2020,705761,718924,735698,739128,753571,760810,770853,774728,793712,803386,806793,825978
2021,830814,846852,857068,872072,881916,900111,914054,923773,938258,955318,969043,981561
2022,982018,988758,996529,1011470,1030557,1031387,1048336,1057711,1068717,1077785,1079482,1092610
2023,1099551,1105735,1107161,1119071,1131937,1132527,1150891,1154541,1157139,1159061,1170232,1178837
2024,1186327,1198549,1213434,1227567,1237047,1250683,1253915,1265058,1280385,1280595,1292340,1299842
