2015,49306,56307,72194,80672,81258,96843,100753,116701,130465,140191,153600,154534
2016,164842,181867,183179,196567,209712,210732,213607,225021,236253,247858,259362,273462
2017,293104,308326,319217,335617,337033,350602,357275,374955,378288,390736,402392,416719
2018,430224,436266,440688,447771,459473,477875,494024,496345,507330,515724,516012,516128
2019,531166,546643,562384,576853,583629,600470,612269,628618,640374,655385,659279,667596
2020,678220,685873,698430,701012,712826,730212,745220,761769,781624,783411,792195,796857
2021,801735,816449,822566,835439,849913,851123,859498,868572,884539,895245,900965,915839
2022,932080,941047,952984,962268,977706,996080,1008968,1012434,1022609,1040676,1049055,1056164
2023,1063791,1075658,1086934,1105985,1116170,1127760,1133480,1144090,1155769,1173730,1188135,1206746
2024,1212310,1225326,1238726,1248624,1264606,1272342,1280599,1294513,1300785,1314082,1330278,1337171
