2015,76777,78730,91050,106235,106571,114951,117717,132831,151270,163851,172362,190923
2016,193761,202038,211416,228989,247093,265761,270544,271941,274458,286719,301551,317771
2017,321600,332581,339186,339942,353254,360179,370085,382511,395714,402258,409873,413395
2018,425652,429426,446719,464848,474324,483058,499914,509715,517041,528715,539704,545450
2019,552891,565039,576864,585778,594248,599551,617002,623705,624791,640927,660334,678682
2020,687837,703608,708512,719312,728922,736156,751870,763042,766938,771226,781387,782053
2021,790355,801775,803312,811163,822269,838766,843561,845762,847677,847775,857743,865730
2022,876107,890678,910523,911378,926192,940098,942461,959758,976891,995544,1012018,1028436
2023,1038610,1048015,1052585,1067589,1068752,1087863,1101989,1106414,1109384,1120876,1126297,1131909
2024,1136667,1149977,1160215,1169558,1180290,1191357,1195164,1213463,1227543,1237757,1252239,1261957
