2015,97655,113234,118159,128729,129701,144679,149176,166084,175238,181995,193586,209916
2016,227140,230540,238032,257296,275716,292343,292527,301333,320242,327799,345959,353625
2017,365071,367479,377808,391844,403109,404740,414928,433743,443809,445245,446935,464383
2018,479008,494063,507076,518698,528021,533070,540646,555200,572230,573445,575801,589793
2019,609216,619833,634130,640469,650951,655185,667182,671700,690585,704739,705103,719854
2020,727568,739854,751290,765600,776399,783512,795747,799374,809849,818101,836988,855658
2021,872945,877083,892917,902621,908539,922578,933650,941081,954763,955257,956960,973174
2022,987131,990091,992861,1001687,1020713,1039027,1040701,1044406,1052508,1070460,1085693,1100307
2023,1118608,1138390,1144442,1148593,1163086,1174268,1194200,1212352,1229833,1229924,1232485,1232925
2024,1246016,1265748,1270352,1272720,1283282,1294566,1312541,1327809,1334444,1336330,1355054,1356416
