2015,67555,86068,90294,107527,109324,123401,127442,137746,147254,160517,175762,185740
2016,195997,207588,224071,227676,231688,246561,253516,265402,268280,284376,296180,313449
2017,329323,344807,363425,368538,372634,383971,397959,413843,418471,426373,445583,454689
2018,468783,488526,494410,498966,518088,536679,543205,555712,569535,583509,602733,616480
2019,632717,643848,650097,662799,669374,683388,686743,690432,691160,707997,721966,737245
2020,743032,759512,765141,772597,781823,797258,808665,818055,822375,833543,848527,860131
2021,867421,869523,886304,890403,896354,911580,920978,939389,941726,957382,972652,977934
2022,993514,1002320,1011845,1020665,1035668,1054897,1067513,1070752,1082362,1086319,1090449,1091994
2023,1100991,1101899,1108223,1108567,1109751,1124586,1142203,1158313,1173097,1185903,1202091,1207955
2024,1216777,1232654,1236304,1248961,1261517,1278112,1288420,1291635,1304987,1313445,1326898,1334812
