2015,26276,35841,48245,54317,66348,75439,83281,93169,104491,109132,114487,124596
2016,142522,161843,168277,176857,189996,195007,213600,219094,236797,247314,256264,271862
2017,287165,290718,305081,317442,333303,349858,352805,366488,381354,390784,401200,403290
2018,421342,437192,452778,456635,476462,482465,490923,506494,509804,527653,538049,558003
2019,560254,573430,575097,586756,599247,603275,612057,625249,639644,652438,654718,656640
2020,676311,689476,698282,699706,709507,709839,714216,734104,751847,770860,785135,799680
2021,819387,834419,848889,866036,883879,893849,906513,920812,934661,937482,955517,965612
2022,977585,989841,1006681,1017860,1026195,1041059,1044599,1049308,1050437,1070104,1075267,1085766
2023,1099982,1111874,1119987,1123442,1135317,1148445,1166181,1180984,1190923,1206991,1221202,1237081
2024,1255508,1268205,1279429,1287386,1298460,1304649,1313629,1333522,1348173,1367236,1379053,1381303
