2015,84999,99153,118445,128444,134772,139718,158468,160677,167705,177805,183751,202521
2016,206333,209059,219935,231441,251235,255492,262233,272828,277566,282503,293871,306472
2017,311440,312948,317413,318342,334185,352118,361928,375845,377215,382463,393371,407400
2018,410330,411215,422405,434287,445048,445666,453679,467386,476780,486660,492253,496712
2019,514357,517245,526596,533894,542408,557350,569262,569885,583959,588298,595359,609078
2020,624080,641905,654126,670613,682930,690090,691095,704525,715290,734472,749315,751049
2021,766375,785721,803657,812050,829945,843354,845865,848168,867782,879224,881949,894523
2022,912073,929365,930020,936975,938471,944766,963233,973509,981032,984856,998420,998804
2023,1016565,1022251,1035280,1037918,1053918,1057855,1075840,1085530,1102595,1117365,1126858,1127576
2024,1132592,1134325,1153800,1167069,1179574,1190874,1194590,1202520,1210963,1228712,1245240,1252136
