2015,43077,47965,57986,71374,88705,100403,100460,101395,110813,116045,133091,147490
2016,164622,171419,179914,190663,210245,223475,227432,230933,249088,267800,271845,282091
2017,289903,297979,311192,324681,329226,342923,345418,359426,361927,377987,384411,384935
2018,391783,395188,414038,425352,434135,450688,469605,474577,475791,489103,500020,502772
2019,516961,529756,530449,535800,537288,555068,572069,587993,599241,612570,625923,641633
2020,652880,660334,660783,670427,677284,693514,696703,703004,720657,740447,743985,763746
2021,782925,798043,801307,820626,839186,846398,850802,865157,874354,882665,891978,897589
2022,908547,915457,930383,937854,949380,957231,960146,971253,984916,986451,1005712,1005883
2023,1020682,1022196,1041749,1060391,1068861,1069252,1077969,1082151,1097963,1110493,1112391,1131290
2024,1144786,1152377,1166359,1176225,1187171,1189851,1208633,1225735,1237169,1246652,1265148,1283944
