2015,56295,75357,89866,104874,115848,116714,126830,127680,134847,152247,171133,187859
2016,199494,215890,225038,241820,260763,273887,280700,286235,286351,305874,308227,322543
2017,331504,337858,341266,350274,360612,375697,382777,397361,414759,430159,447468,462503
2018,479286,489298,501053,512596,526743,537449,556209,565818,573177,586916,597993,616560
2019,625290,630707,645413,652387,663370,667560,667561,687021,701202,714977,716003,734044
2020,750093,755889,773439,777566,797497,804936,817128,820891,837713,851591,870628,881675
2021,894355,899954,902470,906275,911876,931003,941980,951166,962535,977797,987184,994996
2022,998950,1006713,1022182,1034167,1044836,1049628,1059694,1077468,1083796,1097430,1105135,1121856
2023,1131029,1148852,1161996,1175848,1182078,1195041,1206782,1223317,1236840,1248441,1251913,1254129
2024,1257935,1270354,1287974,1291895,1307909,1308220,1311112,1330702,1344646,1356124,1372790,1374079
