2015,25923,32858,33626,46466,58690,77928,79407,95704,103584,118933,126699,127445
2016,128315,134292,145594,148368,160023,171338,176571,179074,182695,190405,209977,222169
2017,224688,231489,246833,259221,275131,291373,299160,318506,338249,345825,357844,377266
2018,389558,396689,410548,413536,433437,436151,448597,450880,451437,453653,473164,479416
2019,490007,493930,495165,511355,515226,517581,525556,535804,548449,551885,560808,580266
2020,594550,610934,628262,645142,647542,654122,669863,685090,698648,702933,718218,723704
2021,743630,751669,766362,784324,789143,790137,802898,808537,817716,820989,828539,847938
2022,852651,871547,887005,899189,916109,921398,935086,942965,950599,969658,982513,987308
2023,996915,1002771,1008181,1022538,1038403,1057573,1064776,1069066,1087966,1088079,1106271,1117721
2024,1126420,1144463,1149278,1161398,1168627,1187580,1192690,1210920,1216559,1223160,1230723,1236328
