2015,33383,52779,65604,78973,92653,108570,116088,124417,131992,132790,141698,147716
2016,154661,160631,171673,181912,190604,196310,196487,213337,232158,246038,253621,265525
2017,267551,270601,272720,279401,290454,306055,311780,328598,338739,346305,349456,349937
2018,365040,377832,394799,410755,428165,432753,446847,460942,469661,475246,475385,492281
2019,510872,513214,520934,523942,541804,549239,552780,559989,577923,591372,595410,611968
2020,621695,625630,631989,644241,657930,677620,692549,693392,694516,713028,716872,723112
2021,728935,730959,734403,739558,739899,748165,750389,762892,780281,790600,807973,808640
2022,823808,830148,838581,849138,866680,873833,893636,897594,899427,913923,927235,942664
2023,957635,965935,971216,977116,990560,991016,1009216,1028481,1038196,1057084,1069661,1083343
2024,1092676,1093812,1111210,1116771,1133639,1135807,1142801,1145672,1163423,1181815,1197710,1204510
