2015,16433,25577,39045,42842,49979,69150,77777,90558,100559,118471,123173,125833
2016,138100,147223,160938,180467,197567,205072,206503,223100,225474,243090,245574,247178
2017,251287,261322,263843,271044,285379,296949,308324,312573,323499,330008,335339,337693
2018,343048,348665,353613,366498,370130,371493,382864,402070,420415,439001,440299,453951
2019,458335,470296,472795,490503,505452,509606,518100,518492,518546,528264,534878,545955
2020,551316,566388,572348,578510,581153,584386,601947,610815,610890,630792,641604,657706
2021,675978,690337,694717,700747,713926,723055,730059,740246,753833,766619,784260,788542
2022,798289,810309,824157,826741,827487,833650,853203,856485,863220,880908,896036,910236
2023,911403,911747,912263,929687,934316,937691,939992,952510,956338,973464,987423,997696
2024,1002932,1003783,1008556,1012509,1030099,1035251,1050415,1066772,1081626,1086110,1095876,1096829
