2015,17031,23376,25061,36019,40616,50475,56616,59835,63806,81915,100709,104532
2016,118216,124425,125408,132767,146680,154962,174753,188654,201352,218140,236448,239968
2017,242849,249056,265544,278553,284444,301262,319225,336279,349181,353706,367739,375154
2018,376134,382716,401323,409376,416059,425472,441346,449772,457194,464197,476114,481766
2019,490177,496110,502555,516903,529376,548031,567961,582036,591874,595053,603177,610356
2020,629119,630719,643942,651041,651526,670509,679618,697071,712464,717713,719056,732041
2021,740836,751089,758889,768302,775136,782086,800939,803127,821386,829234,837262,853064
2022,855593,858908,870261,871343,880877,894261,910828,911474,930187,945499,949996,952810
2023,971486,980954,989647,1002020,1003796,1003803,1017660,1027008,1034775,1037007,1039149,1039278
2024,1059060,1071704,1078253,1093848,1105869,1125373,1144367,1161131,1180048,1185668,1192664,1194201
