2015,66301,76319,80211,99284,99664,101831,114753,133867,143777,151071,170596,177941
2016,191779,201437,205898,225746,232117,248711,266018,268010,274486,286999,287409,299747
2017,304788,319646,330391,347950,354638,361622,373237,390921,410678,413017,428357,444282
2018,447427,466435,476170,487909,496610,513618,521339,530995,541622,550814,554115,573081
2019,576730,594314,607165,623028,639159,655596,667332,668060,676817,694090,707934,720909
2020,736967,754065,760472,766731,775094,779590,795622,811584,812143,813071,827187,845520
2021,850275,855153,855593,874945,886248,905895,916018,922272,928757,944369,955987,966685
2022,977244,995998,1014655,1015871,1019858,1035721,1052284,1066701,1070938,1081329,1093960,1107253
2023,1107934,1117258,1123761,1123972,1143784,1149732,1156553,1160797,1173580,1175368,1180013,1196739
2024,1207985,1226228,1231269,1249977,1268268,1273285,1285186,1298853,1313270,1330916,1336684,1337627
