2015,16277,20656,26583,39084,45650,60664,73617,77259,86218,87548,94074,101361
2016,102251,114873,129649,137579,155188,172943,191800,198948,211894,225818,243200,252219
2017,263570,279022,298809,315260,329484,329599,346952,362849,370549,383785,403235,416567
2018,431822,442860,460161,470297,475654,494083,502048,512512,517293,530289,531077,548108
2019,552476,570598,579058,589350,590879,599005,612923,622490,635753,650256,669796,683432
2020,700045,701642,721418,732813,733575,741925,752341,755143,766339,782353,783690,797386
2021,812722,816032,816688,820470,837666,846873,850417,857629,868139,869406,874131,893447
2022,899372,907461,927364,943051,949552,958611,973989,975872,980696,994437,999783,1019141
2023,1021133,1031290,1048294,1054824,1055969,1058026,1067282,1068631,1076106,1093443,1104926,1119449
2024,1121910,1125968,1139384,1151154,1167447,1171907,1189193,1198315,1214919,1219216,1223069,1242564
