2015,55971,62443,70000,70603,89527,91667,108213,116647,122873,125625,127924,129779
2016,136345,140886,145991,161104,174596,193188,208015,220506,220668,237777,256472,271532
2017,277437,287842,302957,311268,320805,331662,351272,361310,364946,381116,396798,400485
2018,410832,428679,434808,449528,457828,471494,491310,493234,502647,508303,519159,527329
2019,530476,539718,545135,563765,572656,573484,574774,576492,590221,594439,598985,616724
2020,619307,629277,637426,643044,661961,679979,692813,711851,718226,719249,735498,742238
2021,755914,758873,768707,787254,805520,824084,829804,842633,847192,859085,876346,896257
2022,913188,920670,929989,934558,948039,948906,952506,960092,977392,980358,999249,1015340
2023,1028546,1033926,1044336,1053862,1070154,1082289,1084494,1095697,1111910,1112320,1123717,1128803
2024,1129036,1132001,1139335,1139456,1148839,1150218,1168357,1179047,1189445,1200039,1216074,1221850
