2015,86589,104887,124788,132562,132708,141015,150946,158078,158180,169621,181938,190894
2016,197181,214988,215584,234011,234085,249802,269374,284358,290660,307458,320058,336718
2017,353195,372482,376929,385655,390265,394192,398836,403660,406278,407883,426038,435991
2018,439799,457154,463385,468632,474553,476286,486231,501896,503142,512556,528399,541470
2019,552717,564980,576623,588102,607434,608022,625601,638358,642397,658035,675752,690934
2020,707091,710705,714516,723453,736137,740317,754553,765170,770344,782141,786672,806459
2021,817759,831073,849563,854436,872738,875621,881913,884098,895800,895823,908054,908140
2022,914768,925862,940374,947503,947675,964353,982002,985493,1003569,1009351,1013036,1031877
2023,1051382,1064401,1079429,1098785,1111291,1118143,1130401,1131892,1139400,1143044,1149862,1153534
2024,1167602,1174605,1193270,1205683,1207286,1213311,1231836,1235605,1238776,1246281,1263412,1280934
