2015,94732,113789,114188,118339,130282,133337,148157,151647,152607,169473,175993,187507
2016,190354,192045,196356,212753,232730,235912,241451,261438,262459,276353,295706,302246
2017,315788,322334,326817,333831,340385,359678,363191,373265,377027,396767,411028,427273
2018,431694,446126,453760,458709,465432,473763,490403,509868,510648,512471,513918,522393
2019,528356,530742,542730,560052,563686,581956,584105,591032,602955,620224,628429,640686
2020,644166,663031,666556,675344,691247,698264,714280,730852,731226,731514,739234,748850
2021,763393,771737,783843,798733,803373,820305,840012,849623,855216,874378,891744,895610
2022,913661,929412,946135,956068,964470,981491,993160,1012104,1028974,1046678,1046950,1062120
2023,1065164,1068170,1074590,1084590,1102202,1120654,1138633,1149218,1156216,1169957,1170800,1190704
2024,1207422,1215179,1217620,1232244,1242493,1257225,1271812,1279406,1293713,1297944,1311631,1326520
