2015,32203,51286,52729,59142,78200,87385,95297,98844,110295,114826,125679,130153
2016,135681,144096,155973,173191,190086,203594,220416,226348,239555,254320,270749,283466
2017,300021,304332,320242,337986,349245,368638,385575,401654,414883,426866,428059,436073
2018,439114,445861,456364,472000,480642,499867,510382,515764,524587,532720,545218,554596
2019,571006,573897,582436,601881,609945,625931,641926,659968,678871,693885,712597,715620
2020,715698,730898,734437,750906,752871,766843,782657,795429,801803,803939,812624,822648
2021,837915,852935,870889,875590,877605,877967,891887,896497,909986,923118,925175,930644
2022,930742,943338,954861,960856,969336,986163,1005712,1023826,1037213,1037911,1040870,1051659
2023,1060983,1065061,1075684,1087719,1104717,1120505,1128601,1129893,1144777,1163018,1174015,1192784
2024,1208514,1220710,1226586,1231633,1239161,1246196,1255993,1272913,1282578,1291385,1305794,1316696
