2015,91718,91971,107444,113152,126582,130895,142918,150416,160103,165443,168070,175585
2016,191319,206800,225144,228032,233534,240284,245742,259940,269349,283070,300206,302632
2017,320437,332731,347590,359006,374459,393524,411848,431396,437743,451316,454641,461317
2018,474121,485553,493038,506806,520842,530845,549268,562027,577996,582917,585369,590056
2019,601179,605742,607130,616387,619699,627456,628708,641378,654536,671513,678059,692085
2020,699927,702149,718401,736733,738458,747422,756732,773010,780584,796503,809185,828969
2021,840740,855602,861371,871870,883327,883406,896942,913963,917694,926486,933988,938596
2022,941642,942942,951183,952381,963688,968097,987242,1000768,1007326,1007888,1010244,1022928
2023,1023116,1030042,1043762,1050778,1061803,1065839,1073519,1078892,1095611,1107323,1124184,1138156
2024,1157287,1157878,1173220,1175080,1184041,1196876,1207687,1226903,1245310,1258049,1264731,1266009
