2015,53910,62560,80710,84973,103944,120899,133412,152894,157169,167185,170189,179905
2016,187605,207389,221737,237877,247419,260454,270360,275435,293514,308838,326322,327638
2017,336382,354114,356043,362229,377845,391509,397418,404594,422411,427300,443574,460159
2018,467487,479067,484994,486311,502178,511224,523786,523798,539585,539791,559785,576539
2019,587436,592843,604971,621410,631951,633727,652306,661412,661893,672118,674168,680113
2020,691493,699673,709829,728309,738791,758317,762528,769611,783996,795813,812820,816438
2021,820548,828915,844754,862178,863768,877805,878376,879408,890385,895562,911759,924996
2022,943932,963254,971795,985118,996149,999456,1010004,1023363,1036465,1043012,1055228,1059612
2023,1077245,1077569,1087534,1092175,1109086,1123955,1141424,1142773,1148165,1150948,1153099,1165024
2024,1178872,1181576,1197243,1213435,1214419,1225379,1229512,1233512,1234668,1234906,1252522,1255983
