2015,63799,82145,88394,88836,94581,95380,114255,124966,125647,133789,134793,141747
2016,161034,170114,171407,187635,203843,207043,223612,243134,246829,253116,266610,270366
2017,275845,289639,298018,316848,321927,335960,347332,362836,367279,371147,376075,393246
2018,403517,410769,427541,444768,449774,457905,474057,486109,500902,501759,514326,534152
2019,546684,551408,569092,585421,596727,608706,620385,620662,637510,653341,654820,665643
2020,684146,701776,719050,722151,725730,727264,728776,737541,751422,766641,774135,781573
2021,781666,793287,807605,810631,825616,842817,848516,855176,869465,882250,901340,916998
2022,923737,925412,932888,940143,947764,958855,975543,987447,997822,1014876,1027993,1043153
2023,1044776,1060940,1070065,1075836,1079167,1093296,1098198,1104105,1104513,1120425,1123035,1128981
2024,1144143,1150307,1157177,1166118,1174675,1176896,1189079,1206577,1219488,1231459,1250075,1256193
