2015,66302,79243,81425,85425,97239,107348,123934,128836,135988,152409,165067,169504
2016,171660,174198,178160,190517,198848,214537,227982,233339,246645,254950,263899,275152
2017,293688,294105,313551,331816,344302,345805,356578,357816,361599,378225,389536,409204
2018,422746,426519,432699,447211,459217,465290,470164,479705,496301,513658,516343,527406
2019,528919,544452,563544,580307,584992,586156,598971,608705,621238,637556,653984,659377
2020,660702,664877,671494,685452,697308,701142,713466,731299,737431,751710,753229,773139
2021,786902,804699,818362,829773,849360,854319,868482,868867,870298,873783,880072,881645
2022,891372,904390,908322,917983,923898,927192,945370,962843,973544,987071,1002545,1020825
2023,1040500,1052813,1055543,1058283,1077119,1085358,1097853,1099192,1106530,1123070,1124948,1129607
2024,1145604,1149335,1157622,1163278,1168103,1188086,1197783,1217588,1237322,1242650,1258490,1275496
