2015,21010,37018,49501,51428,51541,53768,65202,69247,79274,88900,96244,106609
2016,115017,117193,122645,130241,150133,155463,172877,181411,195526,195791,196097,205171
2017,215406,223066,240574,255454,274701,274720,280495,294253,313575,317933,329611,331941
2018,335721,337197,357178,370780,382447,392718,406419,410698,421914,432670,447280,453616
2019,453765,456797,460800,478107,481452,491050,505736,510102,529294,548324,567265,576733
2020,586886,598917,616526,622881,629950,630075,633164,641069,654934,655596,670803,687802
2021,707434,720192,723703,738877,743334,744056,751581,754195,765307,778436,794502,797148
2022,809767,824398,839737,847894,861753,879484,891738,894473,909990,926350,936839,955730
2023,966814,976655,991360,998945,1000758,1018500,1032175,1032528,1035847,1044522,1050469,1059635
2024,1069608,1071831,1072494,1072800,1088993,1106282,1114881,1127084,1131698,1142553,1150917,1169800
