2015,23969,42635,62161,76111,86383,89716,98748,113970,126242,141191,143173,148247
2016,151348,170051,188159,193788,211560,223242,229624,234242,253130,272135,283164,295591
2017,297517,317386,335017,345573,354520,374332,381534,392152,401524,415241,424350,428048
2018,446921,449477,459759,460067,462043,473126,485426,494071,494457,510519,526152,531516
2019,544743,553639,557923,572679,589282,590857,602843,619363,628951,642769,650023,661397
2020,680341,695112,700075,713085,724310,730101,745211,765038,771362,779171,798041,811099
2021,829158,842077,859886,875268,881257,887678,905842,918895,928819,930945,942167,954532
2022,969038,970143,988512,990265,996418,1012305,1027520,1039711,1054373,1067583,1071612,1079993
2023,1095938,1108491,1113337,1114461,1121217,1131066,1132441,1144094,1162331,1173865,1191275,1192691
2024,1198061,1213604,1217821,1237369,1243041,1246992,1256481,1275466,1283634,1300977,1318666,1330602
