2015,95566,105510,110514,123500,136303,152616,153597,164816,182034,190637,208702,210175
2016,211136,229383,236567,255228,262044,273604,292452,292932,311387,317870,336049,343931
2017,350678,369629,385161,403978,420242,434209,436950,455124,461861,469802,489706,503150
2018,513423,528544,538313,550203,562632,574102,589018,593554,602282,604791,615855,629781
2019,634711,643307,655042,666273,681519,696205,698598,704146,717377,729831,743867,749384
2020,756694,770516,787118,795705,805300,822317,824668,841125,845938,855963,862689,872378
2021,890481,896435,914314,926581,932383,934717,937499,944282,962971,969717,988168,995684
2022,1005329,1009390,1016944,1024713,1030022,1030334,1037093,1049341,1050758,1054639,1064055,1074858
2023,1088741,1095615,1105229,1106043,1122806,1123292,1142172,1157800,1172894,1173722,1178424,1191190
2024,1200736,1215772,1228692,1244682,1255867,1273049,1289890,1299355,1310050,1314996,1319943,1328346
