2015,91163,99806,104774,117205,126533,140573,143389,154768,172594,180335,192056,192635
2016,209635,215544,228613,237031,237362,250166,268963,273484,292237,309935,322177,323146
2017,331600,337756,357645,363901,366290,374054,382848,390820,393223,396127,396669,411562
2018,430690,442066,460396,462428,478983,494216,506508,519969,534681,543560,552344,570402
2019,586499,599890,606162,620562,633425,645739,653169,657988,660711,667588,681531,683331
2020,695408,709629,729292,738810,741857,745945,761843,775706,787322,793969,801975,808055
2021,818520,826712,827803,839671,847204,851164,853551,860126,878583,893661,901649,907031
2022,927004,936030,951781,960201,963872,970284,985096,999566,1001889,1002074,1021654,1041438
2023,1059703,1066782,1075921,1086578,1102413,1120543,1128183,1141440,1143576,1160984,1170482,1172110
2024,1172648,1174655,1183367,1199453,1218182,1230548,1237873,1257838,1261432,1274168,1285599,1287006
