2015,35002,45732,50598,57175,76640,91324,94527,107110,108622,115346,128649,146795
2016,159103,163687,175314,189044,194835,206766,218271,226484,226860,239532,259204,261898
2017,267359,275339,292593,311038,329593,337635,348728,362717,364329,367937,385577,387235
2018,389968,399134,400903,404712,422235,436890,447930,451516,467718,470686,471535,483999
2019,503521,522502,532025,533874,549704,551771,565828,578236,588118,588230,590821,601549
2020,607469,622043,639421,651344,665975,672158,685242,694307,700580,709983,720809,726965
2021,742965,757161,758821,770061,770889,783315,801916,810748,829183,847298,858703,874770
2022,883887,896097,910017,920447,929594,935578,953549,966360,972276,985116,987781,1003020
2023,1010088,1029668,1044116,1062293,1068622,1084724,1096496,1101437,1101951,1117736,1137094,1145727
2024,1152638,1171907,1184553,1193088,1208440,1218416,1232194,1243035,1260926,1267008,1275473,1293740
