2015,84609,87640,103872,103874,117846,132964,141408,148751,152060,155860,157231,171132
2016,176426,196212,209856,213429,218362,232209,247842,253253,254279,255470,267243,279173
2017,283125,289428,298951,305163,307898,322682,327056,332231,350006,363682,381812,394280
2018,410290,419124,437466,439811,454913,458828,469817,480142,493683,505152,508104,524467
2019,535590,548835,560044,578716,594568,607513,617207,620662,637974,642537,660802,672270
2020,673459,682405,692093,703651,723185,723428,723897,737326,756347,758656,761900,777582
2021,787024,796033,803685,821403,825178,826250,829830,829889,834747,836817,852965,865572
2022,880305,898622,909491,926409,941015,946900,947602,949617,953879,956765,971081,983496
2023,984249,985865,987598,1003256,1012841,1017411,1018020,1019780,1021394,1034049,1046902,1050441
2024,1061623,1073005,1079850,1087889,1099838,1107590,1118283,1123966,1130359,1137140,1144041,1162285
