2015,87462,92414,106328,116987,122007,129463,147098,165463,178323,185998,186964,195516
2016,198735,200736,204072,207352,212056,230035,237835,252017,254524,257399,273488,290691
2017,306573,315651,317665,324090,327168,338511,342020,357286,365630,380800,384954,385858
2018,398479,410568,423092,426516,446429,464459,467335,474890,483250,502032,516977,532492
2019,551851,567377,578746,581632,587168,595133,609383,626161,639629,658299,660498,679208
2020,689131,705307,718505,731481,751201,765636,768594,785554,788370,793819,793856,806648
2021,817856,821887,825670,829316,847210,849025,853277,856917,873117,880945,888769,907444
2022,919901,922493,940203,958587,967757,970970,977408,989740,1003177,1008495,1027194,1033156
2023,1044152,1060106,1060516,1064547,1074619,1077056,1085332,1097357,1103467,1106893,1125305,1138214
2024,1146458,1157482,1176134,1176417,1196162,1196634,1203596,1217389,1226231,1245840,1248728,1249873
