2015,87689,99625,117434,121302,124265,125101,139021,156270,158784,175094,192989,199437
2016,211354,228568,229926,249794,255232,271824,285777,301686,303287,310858,324307,328376
2017,332683,347497,364654,378327,383613,387961,400611,406336,413988,432978,444870,463526
2018,471075,474130,479194,479857,489985,501844,517052,520601,525227,545139,562244,575932
2019,580665,597912,610797,613204,632812,636272,654880,661943,681398,685086,699495,701724
2020,721355,731979,746226,756112,764512,782374,787315,797221,800132,811169,811797,812924
2021,815059,834886,843241,856098,860670,861213,868266,874217,883980,892405,905213,907894
2022,909143,912384,912965,919402,935065,946304,960977,961826,969721,980283,992354,1006893
2023,1021131,1023255,1024070,1035259,1038856,1044826,1056241,1057509,1067778,1081180,1094825,1102000
2024,1103470,1119315,1135145,1137821,1153762,1162326,1175972,1192674,1211634,1218776,1228308,1242567
