2015,47860,62881,70472,79938,92071,105076,112476,127280,131886,147173,161017,172117
2016,191989,206739,223942,241973,257956,272731,285675,305399,311095,318523,318779,324618
2017,342582,353773,355753,356753,362161,381078,396447,410870,418151,426896,442377,448560
2018,452190,462704,480859,489695,498221,509144,523173,528095,543654,552874,555627,560470
2019,566006,571096,572342,587939,598690,614242,623279,640525,651017,667817,682333,697601
2020,707384,711978,723706,734496,748037,749220,750143,766079,780388,796630,810339,811146
2021,815930,822590,834812,850614,851237,854856,866641,877521,895704,911479,914756,920616
2022,937111,955944,958677,967231,974817,980809,983200,992909,1009853,1023213,1031759,1033765
2023,1049460,1053621,1065637,1073312,1086478,1090288,1101923,1104756,1123262,1138614,1138722,1141298
2024,1152972,1159003,1178601,1196523,1210768,1213043,1214100,1229307,1244111,1244698,1255389,1255877
