2015,66641,70968,72576,88961,99307,109579,121405,136399,153222,156703,172655,186650
2016,196482,215722,232320,236678,244151,248504,258918,265200,279082,295334,297278,307647
2017,312783,325965,332158,351605,354634,362801,365922,370739,375818,385665,404239,411639
2018,428789,429170,430001,449362,464657,473679,475722,479316,493410,497248,506175,507313
2019,508033,514128,518142,536644,550034,559717,570135,574427,579648,583695,599248,602605
2020,609160,615926,634194,648286,667882,680760,682249,683191,684377,694149,709221,719490
2021,721573,726604,745414,749331,765495,774218,782863,797488,814540,830921,833477,836560
2022,852291,863801,883212,890891,907652,923170,923579,930445,948256,956558,976324,981016
2023,998183,1004072,1005724,1006179,1006812,1010556,1023733,1037392,1045815,1053312,1068850,1071194
2024,1073129,1082980,1083696,1084183,1099759,1114896,1115756,1134586,1148423,1163807,1179582,1193220
